Gene	Triplication-1.RNA.counts.txt	Triplication-2.RNA.counts.txt	Triplication-3.RNA.counts.txt	Isogenic-1.RNA.counts.txt	Isogenic-2.RNA.counts.txt	Isogenic-3.RNA.counts.txt
ABHD8	392.2635923	583.9015171	653.9969068	421.8616119	433.909797	541.2351813
ABI1	941.8932051	975.5319731	1081.647314	828.5794736	888.6624228	956.1342991
ABI1P1	1.535278248	0	0.963176593	0	0.947401304	2.871274171
ABI2	2348.20808	3129.499481	2938.651786	1727.469216	1793.430668	1854.843115
ABI3	3.070556496	2.658125267	0	4.326785763	0.947401304	0
ABI3BP	648.6550597	526.3088029	756.0936257	2074.693773	2065.334842	2218.059297
ABITRAM	272.511889	279.1031531	289.9161546	182.8066985	212.217892	176.5833615
ABITRAMP1	1.535278248	0.886041756	0	3.245089322	0.947401304	0
ABL1	2946.966597	2817.612783	2948.283552	3991.459866	4474.576357	4566.76157
ABL2	760.7303718	637.9500642	686.744911	478.1098268	628.1270643	486.6809721
ABLIM1	3123.523595	2132.702506	2515.817262	1015.712958	1597.318598	937.471017
ABLIM2	343.1346884	322.5191991	410.3132287	200.1138415	281.3781872	183.761547
ABLIM3	1371.003475	860.3465449	922.7231763	631.7107214	1399.311725	521.1362621
ABO	21.49389547	23.03708565	14.4476489	7.571875085	6.631809125	5.742548343
ABR	2415.760323	3223.419908	3199.672643	2284.542883	2514.40306	2571.226021
ABR-AS1	3.070556496	2.658125267	0.963176593	1.081696441	0.947401304	0
ABRA	6.141112991	0	0	40.02276831	82.42391341	4.306911257
ABRACL	156.5983813	139.1085557	135.8078996	142.7839302	129.7939786	101.9302331
ABRAXAS1	393.7988706	171.8921006	166.6295506	299.6299141	414.961771	314.4045218
ABRAXAS1P1	0	0	0	0	0	1.435637086
ABRAXAS1P2	3.070556496	0.886041756	3.852706373	6.490178644	6.631809125	7.178185429
ABRAXAS2	404.5458183	384.542122	446.9139393	451.0674158	424.435784	422.0773032
ABT1	518.1564086	425.3000428	479.6619434	671.7334897	619.6004525	607.2744873
ABT1P1	0	0	0	0	0	0
ABTB1	322.408432	301.254197	260.0576802	379.6754507	359.0650941	429.2554886
ABTB2	551.9325301	535.1692205	617.3961963	1017.876351	965.4019283	1081.034726
ABTB3	461.3511135	499.7275503	594.279958	705.2660793	631.9166695	661.8286965
ACAA1	466.7245873	466.9440053	548.0474816	451.0674158	392.2241397	426.3842145
ACAA2	604.8996297	459.8556713	457.5088818	713.9196509	756.9736416	528.3144475
ACAA2P1	15.35278248	7.974375802	6.742236153	15.14375017	13.26361825	12.92073377
ACACA	2045.758265	1769.425386	1785.729404	1409.450462	1667.426294	1719.893229
ACACB	301.6821757	327.8354496	270.6526227	297.4665212	306.0106211	335.9390781
ACAD10	418.3633225	431.5023351	401.6446394	388.3290222	412.1195671	357.4736343
ACAD11	28.40264759	15.9487516	18.30035527	22.71562525	11.36881564	15.79200794
ACAD8	537.3473867	601.6223522	589.4640751	485.6817019	506.8596974	470.8889641
ACAD9	377.678449	428.8442098	366.970282	482.4366125	504.0174935	466.5820529
ACAD9-DT	36.07903882	54.93458886	51.04835944	29.2058039	36.00124954	30.1483788
ACADL	20.72625635	5.316250535	0.963176593	8.653571526	13.26361825	1.435637086
ACADM	764.5685674	678.7079849	753.2040959	721.4915259	628.1270643	604.4032131
ACADS	214.9389547	173.6641841	156.9977847	222.8294668	276.6411806	173.7120874
ACADSB	449.8365266	456.3115042	471.9565307	373.185272	349.591081	310.0976105
ACADVL	3862.760072	4714.628183	4065.5684	6259.777302	5302.605096	5321.906677
ACAN	852.0794276	2457.879831	512.4099476	26567.54628	23780.72012	58525.18144
ACAP1	158.1336595	174.5502259	155.0714315	218.502681	196.1120698	274.2066834
ACAP2	935.7520921	891.3580063	743.57233	1062.225905	970.1389349	1085.341637
ACAP2-IT1	33.00848233	27.46729443	35.63753395	9.735267966	15.15842086	11.48509669
ACAP3	2202.356647	2630.657973	2441.652664	1938.400022	1866.380568	1998.406823
ACAT1	568.8205908	412.0094164	398.7551096	372.1035756	390.3293371	274.2066834
ACAT2	446.7659701	336.6958672	372.7493416	243.3816992	243.482135	209.6030145
ACBD3	1509.946157	1299.823256	1283.914399	1773.982163	1914.698035	2080.238137
ACBD3-AS1	1.535278248	1.772083512	4.815882966	7.571875085	1.894802607	7.178185429
ACBD4	326.2466277	443.0208779	434.3926436	365.613397	348.6436797	354.6023602
ACBD5	878.9467969	891.3580063	921.7599997	650.0995609	667.917919	588.6112051
ACBD6	785.2948238	709.7194464	787.8784533	881.5825992	850.7663706	848.4615177
ACBD7	29.17028671	65.56708993	54.90106582	55.16651848	32.21164432	48.81166091
ACCS	74.46099502	77.97167451	78.98048065	161.1727697	155.3738138	169.4051761
ACCSL	1.535278248	0	0	3.245089322	0	0
ACCSLP1	0	0	0	0	0	0
ACD	385.3548402	562.6365149	486.4041796	505.1522378	403.5929553	480.9384237
ACE	43.75543006	46.96021306	41.41659351	17.30714305	31.26424302	20.0989192
ACE2	3.070556496	9.746459314	6.742236153	1.081696441	2.842203911	2.871274171
ACE2-DT	0	0	0	0	0	0
ACE3P	0	0	0	0	0	0
ACER1	0	2.658125267	0	0	2.842203911	1.435637086
ACER2	64.48168641	49.61833832	62.60647856	27.04241102	47.37006518	38.76220131
ACER2P1	0	0	0	0	0	0
ACER3	558.8412822	668.0754839	724.3087981	473.783041	374.2235149	420.6416661
ACHE	1912.189058	1565.635782	2453.210783	1014.631261	1179.514623	1162.866039
ACIN1	2101.028282	2808.752366	2403.1256	3010.361194	2631.880821	2783.700309
ACKR1	46.82598656	40.75792077	69.34871471	17.30714305	14.21101955	8.613822514
ACKR2	8.444030363	9.746459314	5.77905956	5.408482203	7.579210429	14.35637086
ACKR3	132.0339293	218.8523137	392.97605	647.936168	632.8640708	640.2941402
ACKR4	5.373473867	12.40458458	2.88952978	4.326785763	5.684407821	7.178185429
ACKR4P1	0.767639124	0	0	0	0	0
ACLY	4189.006699	3545.053065	3999.109215	3527.412093	3569.808112	3724.0426
ACMSD	3.070556496	0.886041756	0	1.081696441	1.894802607	1.435637086
ACNATP	0	0	0	0	0	0
ACO1	1169.114386	1111.096362	943.9130614	1580.3585	1722.37557	1774.447438
ACO2	1915.259614	1908.533942	2086.240501	1519.783499	2231.13007	1373.904691
ACO2P1	3.070556496	1.772083512	0.963176593	6.490178644	9.474013036	2.871274171
ACO2P2	6.141112991	5.316250535	3.852706373	8.653571526	7.579210429	7.178185429
ACOD1	0	0	0	0	0	0
ACOT1	47.59362568	32.78354496	32.74800417	57.32991136	40.73825605	57.42548343
ACOT11	122.8222598	81.51584153	52.01153604	129.8035729	168.637432	192.3753695
ACOT12	0.767639124	2.658125267	5.77905956	0	0.947401304	1.435637086
